path,expected_fen,source,style,layout_type,seed,orientation
evaluation/generated_v2/board_011_plastic_midgame.png,4k3r/3p5/n8/2p2A1bp/2C1P3P/1p4p1c/1B3R3/3P1P3/4N2B1/4K2N1,standard-eval-v2,plastic,midgame,90011,red_top
evaluation/generated_v2/board_012_classic_midgame.png,4k4/1n7/b2p3c1/1C3r3/3A5/7p1/1p5P1/7A1/9/4K4,standard-eval-v2,classic,midgame,90012,red_bottom
evaluation/generated_v2/board_013_wood_midgame.png,1p1ak4/2a6/6r2/2p6/C2b2P2/Bp1r5/2pnPcP1P/7C1/9/3AKA1N1,standard-eval-v2,wood,midgame,90013,red_top
evaluation/generated_v2/board_014_plastic_midgame.png,3akabnr/9/7c1/p2P1Rp1p/9/5P3/6PC1/1C7/9/2B1KA3,standard-eval-v2,plastic,midgame,90014,red_bottom
evaluation/generated_v2/board_015_classic_midgame.png,3ak4/7a1/2p6/1Np6/1C3p3/9/9/P8/8C/2P1K2R1,standard-eval-v2,classic,midgame,90015,red_top
evaluation/generated_v2/board_016_wood_midgame.png,2bak4/9/1r7/2p1p1pcp/9/4R1P2/9/N6C1/9/2B1KA3,standard-eval-v2,wood,midgame,90016,red_bottom
evaluation/generated_v2/board_017_plastic_midgame.png,r2bkab1r/9/p8/1AB5p/1P7/3p2B2/c1P4c1/9/6P2/4K4,standard-eval-v2,plastic,midgame,90017,red_top
evaluation/generated_v2/board_018_classic_midgame.png,3akab1r/9/7c1/n1pNp4/4P2C1/9/b3P1P2/3N4R/9/R3K4,standard-eval-v2,classic,midgame,90018,red_bottom
evaluation/generated_v2/board_019_wood_midgame.png,1cb1kc3/3p4b/6a2/7n1/apn6/3N1P2R/P2r4r/1C5C1/1NP6/R1B1KAB2,standard-eval-v2,wood,midgame,90019,red_top
evaluation/generated_v2/board_020_plastic_initial.png,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,standard-eval-v2,plastic,initial,90020,red_bottom
evaluation/generated_v2/board_021_classic_initial.png,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,standard-eval-v2,classic,initial,90021,red_top
evaluation/generated_v2/board_022_wood_initial.png,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,standard-eval-v2,wood,initial,90022,red_bottom
evaluation/generated_v2/board_023_plastic_empty.png,9/9/9/9/9/9/9/9/9/9,standard-eval-v2,plastic,empty,90023,red_top
evaluation/generated_v2/board_024_classic_empty.png,9/9/9/9/9/9/9/9/9/9,standard-eval-v2,classic,empty,90024,red_bottom
evaluation/generated_v2/board_025_wood_midgame.png,r1b1ka1n1/9/9/4p4/1N7/9/7A1/6P2/9/RN2K3R,standard-eval-v2,wood,midgame,90025,red_top
evaluation/generated_v2/board_026_plastic_midgame.png,4k4/3pn1r2/1c7/a4c3/5n2P/2P4r1/2p6/8N/7B1/2BAK4,standard-eval-v2,plastic,midgame,90026,red_bottom
evaluation/generated_v2/board_027_classic_midgame.png,1na1kapn1/b7c/9/9/8B/1P7/4p4/1C7/7P1/4KA2A,standard-eval-v2,classic,midgame,90027,red_top
evaluation/generated_v2/board_028_wood_midgame.png,1n2ka1n1/7p1/p6c1/1r5P1/6C1P/3p4b/2P2B2P/N3A4/9/2BAK3R,standard-eval-v2,wood,midgame,90028,red_bottom
evaluation/generated_v2/board_029_plastic_midgame.png,2b1k4/9/1r1a4c/5C2p/9/9/P1P6/3A1B3/9/3AK3R,standard-eval-v2,plastic,midgame,90029,red_top
evaluation/generated_v2/board_030_classic_midgame.png,a3k2n1/9/1c5c1/9/1r1p5/8P/5PP2/1C7/1B7/R3KC3,standard-eval-v2,classic,midgame,90030,red_bottom
evaluation/generated_v2/board_031_wood_midgame.png,4k3r/9/2pa1b3/p5p2/9/2nc2p1N/3A1bP1P/9/1P3BCPC/R1B1KA3,standard-eval-v2,wood,midgame,90031,red_top
evaluation/generated_v2/board_032_plastic_midgame.png,2b1k1b1r/9/1c5c1/p1R1p4/9/6a2/9/7C1/2P6/3AKA3,standard-eval-v2,plastic,midgame,90032,red_bottom
evaluation/generated_v2/board_033_classic_midgame.png,2b1ka1n1/an7/9/4pp3/2r3p2/9/2c1r4/7C1/3C2PP1/3AK2N1,standard-eval-v2,classic,midgame,90033,red_top
evaluation/generated_v2/board_034_wood_midgame.png,1n2k1bnr/9/bcr6/4p1p2/7c1/4p4/P1P1P1P1P/1C7/1A2R4/4KABNR,standard-eval-v2,wood,midgame,90034,red_bottom
evaluation/generated_v2/board_035_plastic_midgame.png,3ak4/9/2p6/C7a/8N/2A6/2p2R3/1C2N4/9/R1B1K4,standard-eval-v2,plastic,midgame,90035,red_top
evaluation/generated_v2/board_036_classic_midgame.png,3aka3/9/7c1/p1p6/9/3b4P/6P2/1C7/9/4KAB2,standard-eval-v2,classic,midgame,90036,red_bottom
evaluation/generated_v2/board_037_wood_midgame.png,1bb1k4/9/1p1n5/B7p/6p2/6Ba1/9/1C7/9/R3K4,standard-eval-v2,wood,midgame,90037,red_top
evaluation/generated_v2/board_038_plastic_midgame.png,1pb1k4/9/1cn2r3/1N6p/2C6/9/P1P3PnR/2R1P1NC1/P8/2BAKAB2,standard-eval-v2,plastic,midgame,90038,red_bottom
evaluation/generated_v2/board_039_classic_midgame.png,r1bak4/9/rc5c1/p3p3p/2P6/9/9/N6C1/9/2BAKA2R,standard-eval-v2,classic,midgame,90039,red_top
evaluation/generated_v2/board_040_wood_initial.png,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,standard-eval-v2,wood,initial,90040,red_bottom
evaluation/generated_v2/board_041_plastic_initial.png,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,standard-eval-v2,plastic,initial,90041,red_top
evaluation/generated_v2/board_042_classic_initial.png,rnbakabnr/9/1c5c1/p1p1p1p1p/9/9/P1P1P1P1P/1C5C1/9/RNBAKABNR,standard-eval-v2,classic,initial,90042,red_bottom
evaluation/generated_v2/board_043_wood_empty.png,9/9/9/9/9/9/9/9/9/9,standard-eval-v2,wood,empty,90043,red_top
evaluation/generated_v2/board_044_plastic_empty.png,9/9/9/9/9/9/9/9/9/9,standard-eval-v2,plastic,empty,90044,red_bottom
evaluation/generated_v2/board_045_classic_midgame.png,r1b1ka1n1/9/1c7/2p1p3p/9/5bR1C/P7P/9/9/R1BAKA1N1,standard-eval-v2,classic,midgame,90045,red_top
evaluation/generated_v2/board_046_wood_midgame.png,3aka3/9/7c1/p3B3p/2P6/9/B1b1P1P2/1C4RC1/9/3AK2NR,standard-eval-v2,wood,midgame,90046,red_bottom
evaluation/generated_v2/board_047_plastic_midgame.png,2b1kab2/2p6/9/papr4P/2N1nA2P/6C2/2P1Pn3/R3P4/2N6/2BBK4,standard-eval-v2,plastic,midgame,90047,red_top
evaluation/generated_v2/board_048_classic_midgame.png,rnb1kabn1/9/1c5c1/pA2p1p2/6p2/8r/P1P3P1P/1C5C1/9/R3KABN1,standard-eval-v2,classic,midgame,90048,red_bottom
evaluation/generated_v2/board_049_wood_midgame.png,1n2k4/rc7/9/A3P1p2/6P1n/1c6C/2Pb5/3R1B3/4N4/B3K3R,standard-eval-v2,wood,midgame,90049,red_top
evaluation/generated_v2/board_050_plastic_midgame.png,rn2kabn1/9/9/6p1A/2b6/2pp5/6P1P/9/9/4K2NR,standard-eval-v2,plastic,midgame,90050,red_bottom
evaluation/generated_v2/board_051_classic_midgame.png,r1b1k2nr/9/1c5c1/2pb4p/9/9/P3PB3/NC3R1C1/7A1/RN2KAB2,standard-eval-v2,classic,midgame,90051,red_top
evaluation/generated_v2/board_052_wood_midgame.png,4k4/6n2/9/1pA2cb2/c1b6/9/5pP1P/1P7/9/4KRB2,standard-eval-v2,wood,midgame,90052,red_bottom
evaluation/generated_v2/board_053_plastic_midgame.png,r3k4/5n1a1/b8/c1APp4/n7B/1C7/1R1P1BP2/8N/9/4K4,standard-eval-v2,plastic,midgame,90053,red_top
evaluation/generated_v2/board_054_classic_midgame.png,1r2k1b2/9/p6c1/2pP1A2R/2B6/9/5B2P/4PC3/9/4K2N1,standard-eval-v2,classic,midgame,90054,red_bottom
evaluation/generated_v2/board_055_wood_midgame.png,rc2k4/3pp4/ac7/p3pR1Pp/3P2nb1/9/2P5r/9/A8/NNA1K1B2,standard-eval-v2,wood,midgame,90055,red_top
evaluation/generated_v2/board_056_plastic_midgame.png,an2k1b2/3r5/7cr/p3p3R/B2p3C1/p1c6/P5P2/2A6/9/RNC1K1BN1,standard-eval-v2,plastic,midgame,90056,red_bottom
evaluation/generated_v2/board_057_classic_midgame.png,r1b1k2n1/p8/1c7/2P1p3p/4r4/9/P4a3/1C7/2P2P3/4KA2R,standard-eval-v2,classic,midgame,90057,red_top
evaluation/generated_v2/board_058_wood_midgame.png,2b1k4/4a4/pc7/3PP1N2/n5r2/3b5/6p2/N8/1AR6/2C1K3B,standard-eval-v2,wood,midgame,90058,red_bottom
evaluation/generated_v2/board_059_plastic_midgame.png,r3k2n1/3p5/1c7/9/6a2/9/B1P1P1P1P/9/9/2B1K4,standard-eval-v2,plastic,midgame,90059,red_top
